,National Men,National Women,National White,National Black/AA,National Asian,National Hispanic/Latino,Date
0,3.5,3.3,3.5,5.2,3.1,5.0,2023-12-01
1,3.7,3.1,3.3,5.8,3.5,4.6,2023-11-01
2,3.7,3.2,3.5,5.8,3.1,4.8,2023-10-01
3,3.8,3.1,3.4,5.7,2.9,4.6,2023-09-01
4,3.7,3.2,3.4,5.3,3.2,4.9,2023-08-01
5,3.4,3.1,3.1,5.7,2.3,4.4,2023-07-01
6,3.4,3.1,3.1,6.0,3.1,4.2,2023-06-01
7,3.5,3.3,3.3,5.7,3.0,4.1,2023-05-01
8,3.3,3.1,3.1,4.8,2.8,4.4,2023-04-01
9,3.4,3.2,3.2,5.1,2.8,4.6,2023-03-01
10,3.3,3.3,3.2,5.7,3.4,5.4,2023-02-01
11,3.2,3.1,3.1,5.4,2.9,4.7,2023-01-01
12,3.1,3.2,3.0,5.7,2.4,4.2,2022-12-01
13,3.3,3.3,3.2,5.6,2.6,4.0,2022-11-01
14,3.3,3.4,3.2,5.8,3.0,4.2,2022-10-01
15,3.3,3.1,3.0,5.8,2.5,3.9,2022-09-01
16,3.5,3.2,3.2,6.4,2.8,4.5,2022-08-01
17,3.3,3.1,3.1,5.9,2.7,4.0,2022-07-01
18,3.4,3.3,3.3,5.8,2.9,4.3,2022-06-01
19,3.4,3.4,3.2,6.2,2.4,4.4,2022-05-01
20,3.5,3.3,3.3,6.1,3.0,4.2,2022-04-01
21,3.4,3.4,3.2,6.4,2.7,4.2,2022-03-01
22,3.5,3.7,3.3,6.6,2.9,4.3,2022-02-01
23,3.8,3.6,3.4,7.0,3.6,4.7,2022-01-01
24,3.6,3.6,3.3,6.9,3.8,4.6,2021-12-01
25,3.9,3.9,3.7,6.4,3.8,5.0,2021-11-01
26,4.2,4.2,3.9,7.6,4.2,5.7,2021-10-01
27,4.7,4.3,4.2,7.7,4.2,6.2,2021-09-01
28,5.1,4.7,4.5,8.6,4.5,6.1,2021-08-01
29,5.4,5.0,4.8,8.1,5.3,6.5,2021-07-01
30,5.9,5.5,5.2,9.1,5.6,7.3,2021-06-01
31,5.8,5.3,5.1,9.1,5.7,7.2,2021-05-01
32,6.0,5.7,5.3,10.2,5.7,7.9,2021-04-01
33,5.8,5.8,5.4,9.9,5.9,7.9,2021-03-01
34,6.0,5.9,5.6,9.9,5.1,8.5,2021-02-01
35,6.1,6.0,5.7,9.3,6.6,8.5,2021-01-01
36,6.4,6.3,6.1,9.9,6.0,9.3,2020-12-01
37,6.6,6.2,5.9,10.2,6.7,8.6,2020-11-01
38,6.7,6.4,6.0,10.8,7.5,8.8,2020-10-01
39,7.3,7.8,7.0,11.9,8.9,10.2,2020-09-01
40,7.9,8.3,7.4,12.8,10.6,10.5,2020-08-01
41,9.4,10.5,9.2,14.3,12.0,12.9,2020-07-01
42,10.1,11.2,10.0,15.3,13.6,14.5,2020-06-01
43,11.5,13.9,12.3,16.8,15.0,17.6,2020-05-01
44,13.0,15.5,14.2,16.9,14.5,18.9,2020-04-01
45,4.1,4.0,3.9,7.0,4.1,6.0,2020-03-01
46,3.2,3.1,3.0,6.1,2.5,4.3,2020-02-01
47,3.2,3.3,3.1,6.4,3.0,4.3,2020-01-01
48,3.2,3.3,3.2,6.0,2.6,4.2,2019-12-01
49,3.2,3.3,3.2,5.5,2.6,4.3,2019-11-01
50,3.4,3.2,3.2,5.5,2.9,4.1,2019-10-01
51,3.3,3.1,3.2,5.3,2.5,3.9,2019-09-01
52,3.4,3.2,3.4,5.3,2.8,4.1,2019-08-01
53,3.4,3.3,3.4,5.7,2.8,4.5,2019-07-01
54,3.3,3.3,3.3,5.8,2.0,4.3,2019-06-01
55,3.3,3.3,3.2,6.1,2.6,4.2,2019-05-01
56,3.4,3.2,3.2,6.7,2.3,4.2,2019-04-01
57,3.5,3.4,3.3,6.7,3.0,4.7,2019-03-01
58,3.4,3.4,3.2,7.2,3.2,4.2,2019-02-01
59,3.6,3.6,3.5,7.0,3.0,4.8,2019-01-01
