,Unemployment Rate,State
0,2.4916666666666667,Alabama
1,4.216666666666666,Alaska
2,3.9083333333333337,Arizona
3,3.225,Arkansas
4,4.741666666666666,California
5,3.15,Colorado
6,3.7083333333333335,Connecticut
7,3.983333333333333,Delaware
8,2.908333333333333,Florida
9,3.2000000000000006,Georgia
10,2.933333333333333,Hawaii
11,3.0833333333333326,Idaho
12,4.458333333333333,Illinois
13,3.3416666666666672,Indiana
14,2.9583333333333335,Iowa
15,2.65,Kansas
16,4.158333333333333,Kentucky
17,3.641666666666667,Louisiana
18,2.8333333333333326,Maine
19,2.0999999999999996,Maryland
20,3.341666666666667,Massachusetts
21,3.891666666666667,Michigan
22,2.8249999999999997,Minnesota
23,3.1999999999999997,Mississippi
24,3.058333333333333,Missouri
25,2.858333333333334,Montana
26,2.266666666666667,Nebraska
27,5.1416666666666675,Nevada
28,2.1666666666666665,New Hampshire 
29,4.416666666666667,New Jersey
30,3.7500000000000004,New Mexico
31,4.208333333333333,New York
32,3.4583333333333335,North Carolina
33,1.883333333333333,North Dakota
34,3.525,Ohio
35,3.216666666666667,Oklahoma
36,3.7083333333333335,Oregon
37,3.408333333333333,Pennsylvania
38,2.9416666666666664,Rhode Island
39,2.9499999999999997,South Carolina
40,1.9999999999999998,South Dakota
41,3.2916666666666665,Tennessee
42,3.9499999999999997,Texas
43,2.6416666666666666,Utah
44,2.0083333333333333,Vermont
45,2.8499999999999996,Virginia
46,4.075,Washington
47,3.908333333333333,West Virginia
48,3.0500000000000003,Wisconsin
49,2.9166666666666665,Wyoming
